season,number,production_code,episode_title,guest_star,role,sector
10,208–1005,5F19,When You Dish Upon a Star,Ron Howard,Himself,Director/Actor
10,214–1011,AABF07,Wild Barts Can't Be Broken,Cyndi Lauper,Herself,Singer
10,214–1011,AABF07,Wild Barts Can't Be Broken,Franklin D. Roosevelt (archival),Himself,Politician
10,215–1012,AABF08,"Sunday, Cruddy Sunday",Troy Aikman,Himself,Athlete (American Football)
10,215–1012,AABF08,"Sunday, Cruddy Sunday",Rosey Grier,Himself,Athlete (American Football)
10,215–1012,AABF08,"Sunday, Cruddy Sunday",John Madden,Himself,Sportscaster/Coach
10,215–1012,AABF08,"Sunday, Cruddy Sunday",Dan Marino,Himself,Athlete (American Football)
10,215–1012,AABF08,"Sunday, Cruddy Sunday",Rupert Murdoch,Himself,Media Mogul
10,215–1012,AABF08,"Sunday, Cruddy Sunday",Dolly Parton,Herself,Singer/Actress
10,215–1012,AABF08,"Sunday, Cruddy Sunday",Pat Summerall,Himself,Sportscaster
10,216–1013,AABF09,Homer to the Max,"Ed Begley, Jr.",Himself,Actor/Environmentalist
10,217–1014,AABF11,I'm with Cupid,Elton John,Himself,Singer/Musician
10,222–1019,AABF15,Mom and Pop Art,Jasper Johns,Himself,Artist
10,223–1020,AABF16,"The Old Man and the ""C"" Student",Jack LaLanne,Himself,Fitness Expert
10,225–1022,AABF18,They Saved Lisa's Brain,Stephen Hawking,Himself,Scientist
11,227–1101,AABF23,Beyond Blunderdome,Mel Gibson,Himself,Actor/Director
11,228–1102,AABF22,Brother's Little Helper,Mark McGwire,Himself,Athlete (Baseball)
11,230–1104,BABF01,Treehouse of Horror X,Tom Arnold,Himself,Actor/Comedian
11,230–1104,BABF01,Treehouse of Horror X,Dick Clark,Himself,Television Host
11,230–1104,BABF01,Treehouse of Horror X,Lucy Lawless,Herself,Actress
11,232–1106,BABF02,"Hello Gutter, Hello Fadder",Ron Howard,Himself,Director/Actor
11,232–1106,BABF02,"Hello Gutter, Hello Fadder",Penn Jillette,Himself,Magician
11,232–1106,BABF02,"Hello Gutter, Hello Fadder",Pat O'Brien,Himself,Television Host
11,232–1106,BABF02,"Hello Gutter, Hello Fadder",Nancy O'Dell,Herself,Television Host
11,232–1106,BABF02,"Hello Gutter, Hello Fadder",Teller,Himself,Magician
11,233–1107,BABF03,Eight Misbehavin',Butch Patrick,Himself,Actor
11,234–1108,BABF05,"Take My Wife, Sleaze",Jay North,Himself,Actor
11,235–1109,BABF07,Grift of the Magi,Gary Coleman,Himself,Actor
11,238–1112,BABF08,The Mansion Family,Britney Spears,Herself,Singer
11,239–1113,BABF09,Saddlesore Galactica,Randy Bachman,Himself,Musician
11,239–1113,BABF09,Saddlesore Galactica,Fred Turner,Himself,Musician
11,241–1115,BABF11,Missionary: Impossible,Betty White,Herself,Actress
11,245–1119,BABF16,Kill the Alligator and Run,Joe C.,Himself,Musician
11,245–1119,BABF16,Kill the Alligator and Run,Robert Evans,Himself,Film Producer
11,245–1119,BABF16,Kill the Alligator and Run,Kid Rock,Himself,Musician
11,245–1119,BABF16,Kill the Alligator and Run,Charlie Rose,Himself,Journalist
11,248–1122,BABF19,Behind the Laughter,Willie Nelson,Himself,Singer/Musician
12,250–1202,BABF20,A Tale of Two Springfields,Gary Coleman,Himself,Actor
12,251–1203,BABF17,Insane Clown Poppy,Stephen King,Himself,Author
12,251–1203,BABF17,Insane Clown Poppy,Amy Tan,Herself,Author
12,251–1203,BABF17,Insane Clown Poppy,John Updike,Himself,Author
12,253–1205,CABF04,Homer vs. Dignity,Leeza Gibbons,Herself,TV Personality
12,258–1210,CABF05,Pokey Mom,Bruce Vilanch,Himself,Comedy Writer/Actor
