number,production_code,episode_title,guest_star,role,sector
614–2818,WABF11,A Father's Watch,Adam Silver,Himself,Sports Executive
615–2819,WABF12,The Caper Chase,Ken Jennings,Himself,Media & Journalism
615–2819,WABF12,The Caper Chase,Stan Lee,Himself,Writer
615–2819,WABF12,The Caper Chase,Robert McKee,Himself,Writer
615–2819,WABF12,The Caper Chase,Suze Orman,Herself,Business & Tech
615–2819,WABF12,The Caper Chase,Neil deGrasse Tyson,Himself,Science & Education
620–2902,WABF22,Springfield Splendor,Alison Bechdel,Herself,Artist
620–2902,WABF22,Springfield Splendor,Roz Chast,Herself,Artist
620–2902,WABF22,Springfield Splendor,Dan Harmon,Himself,Writer
620–2902,WABF22,Springfield Splendor,Marjane Satrapi,Herself,Writer
622–2904,WABF18,Treehouse of Horror XXVIII,Mario Batali,Himself,Chef
626–2908,XABF01,Mr. Lisa's Opus,Norman Lear,Himself,Writer
627–2909,XABF02,Gone Boy,John F. Kennedy (archival),Himself,Politician
627–2909,XABF02,Gone Boy,Shaquille O'Neal,Himself,Athlete
631–2913,XABF06,3 Scenes Plus a Tag from a Marriage,John Baldessari,Himself,Artist
632–2914,XABF08,Fears of a Clown,Damian Kulash,Himself,Musician
632–2914,XABF08,Fears of a Clown,Tim Nordwind,Himself,Musician
633–2915,XABF07,No Good Read Goes Unpunished,Daniel Radcliffe,Himself,Actor
635–2917,XABF11,Lisa Gets the Blues,Trombone Shorty,Himself,Musician
642–3003,XABF17,My Way or the Highway to Heaven,Jon Lovitz,Himself,Actor
642–3003,XABF17,My Way or the Highway to Heaven,Tracy Morgan,Himself,Actor
646–3007,XABF21,Werking Mom,Sutan Amrull,Himself,Entertainer
650–3011,YABF03,Mad About the Toy,Bill de Blasio,Himself,Politician
650–3011,YABF03,Mad About the Toy,Lawrence O'Donnell,Himself,Media & Journalism
651–3012,YABF04,The Girl on the Bus,Terry Gross,Herself,Media & Journalism
652–3013,YABF06,I'm Dancing as Fat as I Can,Ted Sarandos,Himself,Business & Tech
653–3014,YABF05,The Clown Stays in the Picture,Marc Maron,Himself,Actor
654–3015,YABF07,101 Mitigations,Guillermo del Toro,Himself,Filmmaker
659–3020,YABF12,I'm Just a Girl Who Can't Say D'oh,John Lithgow,Himself,Actor
660–3021,YABF14,D'oh Canada,Judy Blume,Herself,Writer
661–3022,YABF15,Woo-Hoo Dunnit?,Ken Burns,Himself,Filmmaker
